Unnamed: 0;g__;g__AF12;g__Acidaminococcus;g__Acidocella;g__Acinetobacter;g__Actinobacillus;g__Actinomyces;g__Adlercreutzia;g__Aggregatibacter;g__Agrobacterium;g__Akkermansia;g__Allobaculum;g__Alloscardovia;g__Anaerofustis;g__Anaerostipes;g__Anaerotruncus;g__Atopobium;g__Bacillus;g__Bacteroides;g__Bifidobacterium;g__Bilophila;g__Blautia;g__Bradyrhizobium;g__Bulleidia;g__Burkholderia;g__Butyricimonas;g__CF231;g__Campylobacter;g__Cardiobacterium;g__Christensenella;g__Chryseobacterium;g__Citrobacter;g__Clostridium;g__Collinsella;g__Conchiformibius;g__Coprobacillus;g__Coprococcus;g__Corynebacterium;g__Cryocola;g__Desulfovibrio;g__Dialister;g__Dietzia;g__Dorea;g__Dysgonomonas;g__Eggerthella;g__Eikenella;g__Enterobacter;g__Enterococcus;g__Epulopiscium;g__Erwinia;g__Eubacterium;g__Faecalibacterium;g__Flexispira;g__Fusobacterium;g__Granulicatella;g__Haemophilus;g__Helicobacter;g__Holdemania;g__Hydrogenophaga;g__Klebsiella;g__Lachnobacterium;g__Lachnospira;g__Lactobacillus;g__Lactococcus;g__Lautropia;g__Leptotrichia;g__Leuconostoc;g__Megasphaera;g__Methanobrevibacter;g__Morganella;g__Moryella;g__Mucispirillum;g__Neisseria;g__Odoribacter;g__Oribacterium;g__Oscillospira;g__Oxalobacter;g__Paenibacillus;g__Parabacteroides;g__Paraprevotella;g__Parvimonas;g__Pediococcus;g__Peptococcus;g__Peptoniphilus;g__Phascolarctobacterium;g__Porphyromonas;g__Prevotella;g__Proteus;g__Pseudomonas;g__Ralstonia;g__Roseburia;g__Rothia;g__Ruminococcus;g__Selenomonas;g__Serratia;g__Staphylococcus;g__Streptococcus;g__Sutterella;g__Treponema;g__Turicibacter;g__Vagococcus;g__Variovorax;g__Veillonella;g__WAL_1855D;g__YRC22;g__cc_115;g__ph2
MSM5LLFU;0.35278969957081546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1167381974248927;0.0;0.0;0.001430615164520744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23919885550786837;0.0;0.0;0.0;0.060085836909871244;0.0;0.0;0.0;0.0;0.01888412017167382;0.014592274678111588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18512160228898425;0.0;0.011158798283261802;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLEN;0.17938008353484283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0034073422730270387;0.0005495713343591998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8003407342273027;0.0009892284018465597;0.0;0.0;0.010386898219388877;0.0;0.0;0.0;0.0;0.0;0.0017586282699494395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008793141349747197;0.0;0.0;0.0003297428006155199;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0019784568036931194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSM5FZBP;0.41076487252124644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036827195467422094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11331444759206799;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025495750708215296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37960339943342775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0339943342776204;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLD8;0.09848484848484848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010521885521885523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08838383838383838;0.004629629629629629;0.0;0.008417508417508417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0016835016835016834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0021043771043771043;0.0;0.7192760942760943;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00968013468013468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008417508417508417;0.0;0.0;0.01936026936026936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036616161616161616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLIM;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM633FF;0.15370301451432825;0.0;0.0;0.0;0.0;0.0;0.0;0.0011164867882396724;0.0;0.00148864905098623;0.02084108671380722;0.021027167845180498;0.0;0.00018608113137327876;0.00018608113137327876;0.0;0.0;0.0;0.49553405284704133;0.00148864905098623;0.0;0.010606624488276888;0.00018608113137327876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00297729810197246;0.0016747301823595087;0.0;0.0;0.010978786751023446;0.0003721622627465575;0.00018608113137327876;0.0020468924451060664;0.007815407517677708;0.0003721622627465575;0.00595459620394492;0.0011164867882396724;0.0003721622627465575;0.0;0.0;0.0;0.0;0.0;0.00018608113137327876;0.03609973948641608;0.0;0.0;0.0005582433941198362;0.0;0.0003721622627465575;0.00018608113137327876;0.0;0.0;0.0;0.0020468924451060664;0.007815407517677708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003721622627465575;0.0003721622627465575;0.0;0.0003721622627465575;0.010792705619650168;0.00018608113137327876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005582433941198362;0.00018608113137327876;0.00148864905098623;0.0016747301823595087;0.0;0.1356531447711202;0.028098250837365092;0.0;0.009304056568663937;0.0;0.0;0.0;0.000744324525493115;0.020655005582433942;0.0;0.0005582433941198362;0.0;0.0;0.00148864905098623;0.0;0.0;0.0;0.0
CSM5FZ4O;0.29086057371581053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40226817878585724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21547698465643764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012675116744496331;0.0;0.0;0.02268178785857238;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012675116744496331;0.0;0.0;0.0;0.0;0.04336224149432955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSM5MD7Z;0.08968609865470852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6860986547085202;0.013452914798206279;0.0;0.004484304932735426;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004484304932735426;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13901345291479822;0.0;0.0;0.0;0.008968609865470852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017937219730941704;0.0;0.0;0.008968609865470852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013452914798206279;0.0;0.004484304932735426;0.0;0.0;0.0;0.0;0.008968609865470852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSM5MCVB;0.8588832487309644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0394585448392555;0.00027072758037225043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014077834179357021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00033840947546531303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00033840947546531303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006091370558375635;0.0;0.0;0.0;0.0;0.08602368866328257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSM5FZ46;0.17615005763386776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.055118935345279264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0028292989625903803;0.0;0.0;0.0;0.0;0.0;0.0;0.7659017080582626;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLIQ;0.40333828741282723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018577798102206472;0.00028581227849548414;0.0;0.00468732136732594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07465416714302046;0.00028581227849548414;0.0;0.0;0.0;0.0;0.0;0.0;0.000342974734194581;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07831256430776266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05384703326854922;0.0;0.0;0.0;0.0001714873670972905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23642391677146452;0.0;0.0;0.0;0.0;0.07711215273808163;0.0;0.051960672230479024;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5FZ8Y;0.5219668542839274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15505784865540964;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011726078799249531;0.0;0.0;0.00031269543464665416;0.0;0.0;0.0;0.0;0.0;0.0011726078799249532;0.0;0.0;0.0;0.01172607879924953;0.013133208255159476;0.0;0.0;0.0;0.0010553470919324578;0.0;0.0;0.0;0.0;0.0;0.052611006879299566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006762038774233896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02407754846779237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008872732958098812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010944340212632896;0.0;0.0;0.0;0.0;0.0;0.19160412757973733;0.0;0.0;0.0;0.0;0.0;0.0;0.0005863039399624766;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ESM5MEDZ;0.11721311475409836;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019262295081967213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007950819672131147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7860655737704918;0.0;0.0;0.0;0.03360655737704918;0.0;0.0;0.0;0.0;0.0013114754098360656;0.0021311475409836068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0014754098360655738;0.0;0.0;0.0;0.0;0.0;0.001557377049180328;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0027049180327868854;0.0;0.0;0.0;0.0;0.026721311475409838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
