Unnamed: 0,f__,f__Acetobacteraceae,f__Actinomycetaceae,f__Alcaligenaceae,f__Bacillaceae,f__Bacteroidaceae,f__Bifidobacteriaceae,f__Bradyrhizobiaceae,f__Burkholderiaceae,f__Campylobacteraceae,f__Cardiobacteriaceae,f__Carnobacteriaceae,f__Christensenellaceae,f__Clostridiaceae,f__Comamonadaceae,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Deferribacteraceae,f__Desulfovibrionaceae,f__Dietziaceae,f__Enterobacteriaceae,f__Enterococcaceae,f__Erysipelotrichaceae,f__Eubacteriaceae,f__Fusobacteriaceae,f__Gemellaceae,f__Helicobacteraceae,f__Lachnospiraceae,f__Lactobacillaceae,f__Leptotrichiaceae,f__Leuconostocaceae,f__Methanobacteriaceae,f__Microbacteriaceae,f__Micrococcaceae,f__Moraxellaceae,f__Neisseriaceae,f__Oxalobacteraceae,f__Paenibacillaceae,f__Pasteurellaceae,f__Peptococcaceae,f__Peptostreptococcaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Prevotellaceae,f__Pseudomonadaceae,f__Rhizobiaceae,f__Rikenellaceae,f__Ruminococcaceae,f__S24-7,f__Sinobacteraceae,f__Spirochaetaceae,f__Staphylococcaceae,f__Streptococcaceae,f__Turicibacteraceae,f__Veillonellaceae,f__Verrucomicrobiaceae,f__Victivallaceae,f__Xanthomonadaceae,f__[Barnesiellaceae],f__[Mogibacteriaceae],f__[Odoribacteraceae],f__[Paraprevotellaceae],f__[Tissierellaceae],f__[Weeksellaceae]
ESM5MEET,614.0,0.0,0.0,366.0,0.0,55.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3268.0,14.0,0.0,0.0,0.0,0.0,0.0,2269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4458.0,0.0,0.0,41.0,5.0,13.0,0.0,0.0,0.0,4744.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEEG,109.0,0.0,0.0,3574.0,0.0,337.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,11.0,0.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLGH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5FZ9Z,340.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1688.0,0.0,0.0,0.0,0.0,0.0,0.0,4923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,2979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCVH,850.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14962.0,0.0,0.0,0.0,0.0,0.0,0.0,5697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCV1,0.0,0.0,0.0,26.0,0.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5YRY7,35.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEE6,4.0,0.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
