Unnamed: 0;f__;f__Acetobacteraceae;f__Actinomycetaceae;f__Alcaligenaceae;f__Bacillaceae;f__Bacteroidaceae;f__Barnesiellaceae;f__Bifidobacteriaceae;f__Bradyrhizobiaceae;f__Burkholderiaceae;f__Campylobacteraceae;f__Cardiobacteriaceae;f__Carnobacteriaceae;f__Christensenellaceae;f__Clostridiaceae;f__Comamonadaceae;f__Coriobacteriaceae;f__Corynebacteriaceae;f__Deferribacteraceae;f__Desulfovibrionaceae;f__Dietziaceae;f__Enterobacteriaceae;f__Enterococcaceae;f__Erysipelotrichaceae;f__Eubacteriaceae;f__Fusobacteriaceae;f__Gemellaceae;f__Helicobacteraceae;f__Lachnospiraceae;f__Lactobacillaceae;f__Leptotrichiaceae;f__Leuconostocaceae;f__Methanobacteriaceae;f__Microbacteriaceae;f__Micrococcaceae;f__Mogibacteriaceae;f__Moraxellaceae;f__Neisseriaceae;f__Odoribacteraceae;f__Oxalobacteraceae;f__Paenibacillaceae;f__Paraprevotellaceae;f__Pasteurellaceae;f__Peptococcaceae;f__Peptostreptococcaceae;f__Planococcaceae;f__Porphyromonadaceae;f__Prevotellaceae;f__Pseudomonadaceae;f__Rhizobiaceae;f__Rikenellaceae;f__Ruminococcaceae;f__S24-7;f__Sinobacteraceae;f__Spirochaetaceae;f__Staphylococcaceae;f__Streptococcaceae;f__Tissierellaceae;f__Turicibacteraceae;f__Veillonellaceae;f__Verrucomicrobiaceae;f__Victivallaceae;f__Weeksellaceae;f__Xanthomonadaceae
MSM5LLEN;0.11464058034732909;0.0;0.0;0.0019784568036931194;0.0;0.0034073422730270387;0.0008243570015387997;0.0005495713343591998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009892284018465597;0.0632556605847439;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010386898219388877;0.0;0.0;0.0;0.0003297428006155199;0.0;0.0;0.0;0.0;0.8036381622334579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSM5FZBP;0.046742209631728045;0.0;0.0;0.0339943342776204;0.0;0.036827195467422094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3286118980169972;0.0;0.0;0.0;0.0;0.0;0.0;0.03541076487252125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025495750708215296;0.37960339943342775;0.0;0.0;0.0;0.11331444759206799;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLD8;0.005471380471380472;0.0;0.0;0.036616161616161616;0.0;0.08838383838383838;0.0;0.004629629629629629;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0016835016835016834;0.0;0.0;0.0;0.0;0.007154882154882155;0.0;0.0;0.0;0.0;0.0;0.0;0.05260942760942761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.031144781144781145;0.0;0.0;0.0;0.0;0.0;0.0;0.01936026936026936;0.0;0.0;0.0;0.0;0.7424242424242424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010521885521885523;0.0;0.0;0.0
MSM5LLIM;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM633FF;0.020096762188314105;0.0;0.0;0.020655005582433942;0.0;0.49553405284704133;0.0;0.00148864905098623;0.00018608113137327876;0.0;0.0;0.0;0.0005582433941198362;0.00018608113137327876;0.0070710829921845925;0.0;0.004279866021585412;0.0003721622627465575;0.0003721622627465575;0.0031633792333457386;0.0003721622627465575;0.00297729810197246;0.0;0.02232973576479345;0.00018608113137327876;0.0;0.0;0.0003721622627465575;0.15128395980647563;0.007815407517677708;0.0;0.0;0.0;0.00018608113137327876;0.0;0.0;0.0;0.0003721622627465575;0.0;0.13583922590249348;0.0;0.0;0.0;0.0;0.0003721622627465575;0.0;0.0013025679196129512;0.00148864905098623;0.00018608113137327876;0.00148864905098623;0.0027912169705991813;0.07592110160029773;0.008001488649050986;0.00018608113137327876;0.0;0.0;0.000744324525493115;0.0;0.0005582433941198362;0.01042054335690361;0.02084108671380722;0.0;0.0;0.0
CSM5FZ4O;0.0;0.0;0.0;0.04336224149432955;0.0;0.40226817878585724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2028018679119413;0.0;0.00266844563042028;0.0;0.0;0.0;0.0;0.06404269513008673;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02268178785857238;0.0;0.0;0.0;0.0;0.2621747831887925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HSM5MD7Z;0.008968609865470852;0.0;0.0;0.008968609865470852;0.0;0.6860986547085202;0.0;0.013452914798206279;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008968609865470852;0.0;0.0;0.0;0.0;0.0;0.0;0.03587443946188341;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008968609865470852;0.0;0.0;0.0;0.008968609865470852;0.0;0.0;0.0;0.03587443946188341;0.17937219730941703;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004484304932735426;0.0;0.0;0.0;0.0
CSM5MCVB;0.0023011844331641287;0.0;0.0;0.08602368866328257;0.0;0.0394585448392555;0.0;0.00027072758037225043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.85082910321489;0.0;0.0;0.0;0.0;0.0;0.0;0.00521150592216582;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005414551607445009;0.0;0.0;0.0;0.00033840947546531303;0.0;0.0;0.0;0.0;0.015025380710659899;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSM5FZ46;0.06591218694330923;0.0;0.0;0.7659017080582626;0.0;0.055118935345279264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10814209368123232;0.0;0.0;0.0;0.0;0.0;0.0;0.004925075971916588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MSM5LLIQ;0.09951983537212758;0.0;0.0;0.07711215273808163;0.0;0.018577798102206472;0.0;0.00028581227849548414;0.0;0.0;0.0;0.0;0.0;0.0;0.16394192294500973;0.0;0.0;0.0;0.0;0.000342974734194581;0.0;0.08791585686521093;0.0;0.0005144621012918715;0.0;0.0;0.0;0.0;0.388418886475363;0.0;0.0001714873670972905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018577798102206472;0.0;0.0;0.00028581227849548414;0.0;0.0;0.0;0.0;0.0;0.09237452840974049;0.0;0.0;0.0;0.0;0.0;0.0;0.051960672230479024;0.0;0.0;0.0;0.0;0.0
